crystal,Filename,Loss,PSNR,SSIM,SNR,Noise Cluster Size,Crystal Position,Type
Crystal0.8f,shiftCystal_0.8f_200-400_40LG_10loop_Aug23_test.pt,0.062316091,18.06565475,0.753678717,0,0,40,EXP
Crystal0.8f,shiftCystal_0.8f_200samples_40LG_10loop_Aug20_test.pt,0.050601619,19.05718541,0.78210552,0,0,40,EXP
Crystal0.8f,shiftCystal_0.8f_400-600_40LG_10loop_Aug25_test.pt,0.070739659,17.14518142,0.76696346,0,0,40,EXP
Crystal27mm,shiftCrystal27mm_SNR15(s10)_1-200samples_40LG_10loop_Sep13_test.pt,0.142155288,14.43320799,0.429308284,-15,10,27,EXP
Crystal27mm,shiftCrystal27mm_SNR10(s10)_1-200samples_40LG_10loop_Sep9_test.pt,0.114933237,15.08227384,0.516019285,-10,10,27,EXP
Crystal27mm,shiftCrystal27mm_SNR17(s10)_1-200samples_40LG_10loop_Sep15_test.pt,0.152053671,14.25568914,0.390771206,-17,10,27,EXP
Crystal27mm,shiftCrystal27mm_1-200samples_40LG_10loop_Sep3_test.pt,0.024812806,22.01153851,0.90004494,0,0,27,EXP
Crystal27mm,shiftCrystal27mm_1-600samples_40LG_10loop_Sep7_test.pt,0.04666768,19.23349269,0.819405362,0,0,27,EXP
Crystal40mm,shiftCrystal40mm_SNR10(s10)_1-200samples_40LG_10loop_Oct2-replace1-76_test.pt,0.061577612,17.980654,0.752179727,-10,10,40,EXP
Crystal40mm,shiftCrystal40mm_SNR10(s20)_1-200samples_40LG_10loop_Oct1_test.pt,0.16794729,13.78612411,0.361251246,-10,20,40,EXP
Crystal40mm,shiftCrystal40mm_SNR10(s5)_1-200samples_40LG_10loop_Sep28_test.pt,0.063907101,17.93782091,0.741069399,-10,5,40,EXP
Crystal40mm,shiftCrystal40mm_SNR10(s10)_1-200samples_40LG_10loop_Sep24_test.pt,0.063397025,17.62903023,0.742572688,-10,10,40,EXP
Crystal40mm,shiftCrystal40mm_SNR15(s5)_1-200samples_40LG_10loop_Oct7_test.pt,0.065754786,18.1583221,0.727976151,-15,5,40,EXP
Crystal40mm,shiftCrystal40mm_SNR17(s10)_1-200samples_40LG_10loop_Oct12_test.pt,0.151625143,14.47071087,0.419403862,-17,10,40,EXP
Crystal40mm,shiftCrystal40mm_SNR15(s10)_1-200samples_40LG_10loop_Oct4_test.pt,0.118153776,15.78452253,0.521002356,-15,10,40,EXP
Crystal40mm,shiftCrystal40mm_SNR17(s5)_1-200samples_40LG_10loop_Oct9_test.pt,0.078666795,17.1808188,0.674668469,-17,5,40,EXP
Crystal40mm,shiftCrystal40mm_1-200samples_40LG_10loop_Sep21_test.pt,0.049952052,18.94451189,0.800896421,0,0,40,EXP
0.8f,1-200samples_40LG_N800_dx5.2_s5_sameSNR10_0.8f_test.pt,0.147743514,13.43684053,0.424197905,-10,5,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s20_SNR15_0.8f_test.pt,0.188221404,12.71532071,0.286343679,-15,20,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s20_sameSNR17_0.8f_test.pt,0.205110274,12.33177233,0.258361759,-17,20,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s20_sameSNR10_0.8f_test.pt,0.176210111,12.5907743,0.325792097,-10,20,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s10_SNR20_0.8f_test.pt,0.186723255,13.24667025,0.309089433,-20,10,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR17_0.8f_test.pt,0.160187369,13.62894416,0.382581268,-17,10,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR15_0.8f_test.pt,0.159557547,13.41222394,0.383186206,-15,10,40,SIM
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR10_0.8f_test.pt,0.150111027,13.41961777,0.416101348,-10,10,40,SIM
0.8f,changeCrystalPosition_f0.8_1-200sample_digit800_dx5.2_test.pt,0.150263907,13.46808851,0.418141417,0,0,40,SIM
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR15_27mm_test.pt,0.196836494,12.52457118,0.268023768,-15,20,27,SIM
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR10_27mm_test.pt,0.184120473,12.5396508,0.300941829,-10,20,27,SIM
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR17_27mm_test.pt,0.174375828,13.39328933,0.330029014,-17,10,27,SIM
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR15_27mm_test.pt,0.163217356,13.47208965,0.354698692,-15,10,27,SIM
27mm,changeCrystalPosition_27mm_1-200sample_digit800_dx5.2_test.pt,0.15608491,13.17834175,0.363571923,0,0,27,SIM
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR10_27mm_test.pt,0.158610379,13.127635,0.36613116,-10,10,27,SIM
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR17_27mm_test.pt,0.210827298,12.44823289,0.24326562,-17,20,27,SIM
