crystal_position,filename,test_loss,test_psnr,test_ssim
0.8f,1-200samples_40LG_N800_dx5.2_s5_sameSNR10_0.8f_test.pt,0.14774351380765438,13.436840534210205,0.4241979047656059
0.8f,1-200samples_40LG_N800_dx5.2_s20_SNR15_0.8f_test.pt,0.1882214043289423,12.715320706367493,0.28634367883205414
0.8f,1-200samples_40LG_N800_dx5.2_s20_sameSNR17_0.8f_test.pt,0.20511027425527573,12.331772327423096,0.2583617586642504
0.8f,1-200samples_40LG_N800_dx5.2_s20_sameSNR10_0.8f_test.pt,0.17621011100709438,12.590774297714233,0.325792096555233
0.8f,1-200samples_40LG_N800_dx5.2_s10_SNR20_0.8f_test.pt,0.1867232546210289,13.246670246124268,0.30908943340182304
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR17_0.8f_test.pt,0.1601873692125082,13.628944158554077,0.38258126750588417
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR15_0.8f_test.pt,0.1595575474202633,13.412223935127258,0.3831862062215805
0.8f,1-200samples_40LG_N800_dx5.2_s10_sameSNR10_0.8f_test.pt,0.15011102706193924,13.419617772102356,0.4161013476550579
0.8f,changeCrystalPosition_f0.8_1-200sample_digit800_dx5.2_test.pt,0.15026390738785267,13.468088507652283,0.4181414172053337
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR15_27mm_test.pt,0.19683649390935898,12.524571180343628,0.26802376843988895
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR10_27mm_test.pt,0.18412047252058983,12.539650797843933,0.3009418286383152
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR17_27mm_test.pt,0.17437582835555077,13.39328932762146,0.3300290144979954
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR15_27mm_test.pt,0.163217356428504,13.472089648246765,0.35469869151711464
27mm,changeCrystalPosition_27mm_1-200sample_digit800_dx5.2_test.pt,0.15608491003513336,13.178341746330261,0.3635719232261181
27mm,1-200samples_40LG_N800_dx5.2_s10_sameSNR10_27mm_test.pt,0.1586103793233633,13.12763500213623,0.36613116040825844
27mm,1-200samples_40LG_N800_dx5.2_s20_sameSNR17_27mm_test.pt,0.2108272984623909,12.448232889175415,0.24326561950147152
